Gene,cluster,padj
Gm47610,4,0.01706886
Slc25a5.ps,4,0.004289047
Phf3,4,0.018856103
Gm13443,4,0.040704096
Ssr1,4,0.031137847
Rock2,4,0.026437586
Dap,4,0.035149452
Slc4a2,4,0.007582236
Dcaf6,4,0.036990783
Sigmar1,4,0.048962775
Gm14676,4,0.009208875
Gm43285,4,0.012009654
Zcrb1,4,0.012431866
Aagab,4,0.048296582
Ubxn6,4,0.021085499
Psmg4,4,0.013385414
Gm21032,4,0.01080488
Gm43759,4,0.045278075
Rab18,4,0.017709095
Gm14538,4,0.023837101
Gm5322,4,0.016062215
Gm5430,4,0.024045418
Wdr33,4,0.002190988
Cdc42bpb,4,0.000507024
Rabl3,4,0.000884896
Galnt16,4,0.046155406
Gm13268,4,0.013216833
Txndc9,4,0.003712961
Rusc2,4,0.045657283
Gtf2ird1,4,0.001814988
Rab3gap2,4,0.008922283
Gm6552,4,0.002434708
Babam1,4,0.020699551
Gm8463,4,0.003736732
Rbbp9,4,0.045208231
Gm38379,4,0.031076852
Snx4,4,0.000157477
Rasgef1b,4,0.019994366
Cst9,4,0.048874013
Gm42462,4,0.030747509
Fam193b,4,0.025139482
Fam71e1,4,0.017458074
Gm14657,4,0.030208213
Ccng1,4,0.038796696
Ripply3,4,0.042770375
Gm9207,4,0.039169051
Zfc3h1,4,0.016572417
Strip1,4,0.00159278
Gm7592,4,0.040308462
C130026I21Rik,4,0.035728329
Mycbp2,4,0.003344811
Mgrn1,4,0.002600882
Mir133a.1,4,0.039221785
AL928857.1,4,0.01630018
Gm5780,4,0.028717822
Gm15417,4,0.031045277
Slc49a4,4,0.014409543
Gm11902,4,0.016497539
Gm4968,4,0.029747383
Dld,4,0.009188187
Ier2,4,0.035141196
Bckdha,4,0.016497539
Aup1,4,0.044785503
Gm8049,4,0.027097042
Gm32031,4,0.034066519
Agap3,4,0.009227121
Gm18001,4,0.007490121
Supt4a,4,0.002109973
Gm22554,4,0.048054718
Lemd3,4,0.036595215
Gm9449,4,0.002223511
Pcdhb18,4,0.003555974
Glud.ps,4,0.007925281
Gm19932,4,0.042423246
Gm5415,4,0.011661273
Fkbp11,4,0.012133404
Glmn,4,0.002494065
Olfml1,4,0.042309599
Ncor1,5,0.048054718
Cnot3,5,0.025423267
Pkia,5,0.040519958
Gm9710,5,0.023431497
Gm43103,5,0.038796696
Gm30025,5,0.016572417
Dock1,5,0.045208231
Prep,5,0.037312435
Gm37914,5,0.017946721
Alas1,5,0.03496852
Ly6e.ps1,5,0.029993934
Mtx2,5,0.00359964
Gm38312,5,0.000187638
Gm43311,5,0.014494677
Ppp3ca,5,6.73E-05
Fabp3,5,0.017458074
Gm9132,5,0.038729286
Gm38058,5,5.51E-05
Gm43726,5,0.02117617
Zap70,5,0.009394188
Gm17756,5,0.027711506
Mir7080,5,0.027816454
Gm42519,5,0.040818225
Gm49832,5,0.019548519
Scarna13,5,0.039101205
Tsc22d2,5,0.01611748
Gm7785,5,0.038272688
Gm26286,5,0.00989799
Rnf4,5,0.001641604
Pitx2,5,0.027303677
Kat7,5,0.023778871
Gm7497,5,0.014717984
Rb1cc1,5,0.012439964
Prrc1,5,0.005581367
X3110056K07Rik,5,0.01309285
Gm6580,5,0.017156704
Gm28720,5,0.049684256
Nme7,5,0.048054718
Spry2,5,0.000903063
Gm43142,5,0.033830419
Gm2774,5,0.019262063
Stac3,5,0.013510686
Disp1,5,0.003722108
Nqo2,5,0.004342633
Des,5,0.028870051
Rpph1,5,0.014688201
Gm17590,5,0.01046013
Slc35b1,5,0.019221041
Gm11889,5,0.040281375
Gm7054,5,0.011060901
Stat6,5,0.014268536
Rft1,5,0.000158155
Gm3926,5,0.017303373
Tmem127,5,0.041074199
Gm42628,5,0.014312077
Gm29705,5,0.030511331
Gm18234,5,0.033436136
Trf,5,0.00310461
Gm12816,5,0.028256143
AC121135.2,5,0.027303677
Gpr137c,5,0.003385822
Sgo2a,5,0.027051457
Gm19201,5,0.015758184
C2cd2l,5,0.017445722
Gm3355,5,0.026765206
Erp29,5,0.048054718
Cdc123,5,0.011672818
Gm43012,5,0.0087061
Ylpm1,5,0.001416331
Mrps25,5,0.003290381
Gm6599,5,0.04879975
Myoc,5,0.018064958
Bloc1s2.ps,5,0.025423267
Rasa3,5,0.004612468
Iffo1,5,0.016814272
Mylk3,5,0.005675407
BC085271,5,0.007649799
Trrap,5,0.034831644
Gm9435,5,0.017458074
Lrrc4,5,0.026065494
Gm17922,5,0.048054718
Slc35a2,5,0.046676183
Gm7069,5,0.012915306
Cbx3.ps6,5,0.009336783
Cmbl,5,0.029367768
Spin3.ps,5,0.023340643
Rin2,5,0.024841673
Focad,5,0.028900929
Gm12466,5,0.048054718
Gpcpd1,5,0.029993934
Prkch,5,0.005169127
Mtf2,5,0.007649799
Gm26107,5,0.009648532
Gm42855,5,0.023255194
X2210016L21Rik,5,0.001282044
Cpt1c,5,0.001714805
Gm23123,5,0.00277171
Gm13685,5,0.028870051
Cdk2ap1,5,0.027999179
Gm3348,5,0.036636877
Sdhaf2,5,0.012439964
Cops8,5,0.024110209
Gm9619,5,0.005725885
Gm9614,5,0.007947423
Gm42770,5,0.002292952
Papola,5,0.039253207
Gm12337,5,0.031334881
Lcp1,5,0.020313008
Gm37784,5,0.008781505
Ptpn1,5,0.026019829
Ift20,5,0.022386908
AC166779.2,5,0.013764521
Gm5735,5,0.025076302
Gm37139,5,0.01505224
Gm8031,5,0.002109973
Card6,5,0.010749183
Gm37285,5,0.048054718
Ppp2r2d,5,0.042612723
Tslp,5,0.046905862
Helq,5,0.023775922
Gm2a,5,0.020203756
Gm49866,5,0.042051126
Micos13,5,0.033575028
Atp6v1g2,5,0.006386191
Gm14108,5,0.044785503
Gm48855,5,0.005566556
Pgrmc1,5,0.014381037
Gm8869,5,4.17E-05
Pkn3,5,0.002123009
Gm8575,5,0.034592504
Fzd6,5,8.27E-07
Gm8321,5,0.018471276
Gm25430,5,0.027303677
